Company Name,Channel Type,Cover Type,Duration_bucket,Value
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,39.7
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 2 months to 6 months,15.9
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 12 months,4.8
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,0-2 weeks,37.0
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 6 months to 12 months,9.9
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,29.6
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 2 months to 6 months,17.3
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 12 months,6.2
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,0-2 weeks,92.6
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,1.1
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,3.7
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,2.7
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 12 months,0.0
TAL Life Insurance Services Limited,Individual Non-Advised,Accident,0-2 weeks,15.4
TAL Life Insurance Services Limited,Individual Non-Advised,Accident,> 6 months to 12 months,7.7
TAL Life Insurance Services Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,40.4
TAL Life Insurance Services Limited,Individual Non-Advised,Accident,> 2 months to 6 months,34.6
TAL Life Insurance Services Limited,Individual Non-Advised,Accident,> 12 months,1.9
TAL Life Insurance Services Limited,Individual Non-Advised,CCI,0-2 weeks,66.4
TAL Life Insurance Services Limited,Individual Non-Advised,CCI,> 6 months to 12 months,1.4
TAL Life Insurance Services Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,21.4
TAL Life Insurance Services Limited,Individual Non-Advised,CCI,> 2 months to 6 months,10.7
TAL Life Insurance Services Limited,Individual Non-Advised,CCI,> 12 months,0.0
TAL Life Insurance Services Limited,Individual Non-Advised,Death,0-2 weeks,71.9
TAL Life Insurance Services Limited,Individual Non-Advised,Death,> 6 months to 12 months,0.0
TAL Life Insurance Services Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,12.3
TAL Life Insurance Services Limited,Individual Non-Advised,Death,> 2 months to 6 months,15.8
TAL Life Insurance Services Limited,Individual Non-Advised,Death,> 12 months,0.0
TAL Life Insurance Services Limited,Individual Non-Advised,Funeral,0-2 weeks,94.9
TAL Life Insurance Services Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.0
TAL Life Insurance Services Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,4.7
TAL Life Insurance Services Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,0.4
TAL Life Insurance Services Limited,Individual Non-Advised,Funeral,> 12 months,0.0
TAL Life Insurance Services Limited,Individual Advised,Death,0-2 weeks,70.8
TAL Life Insurance Services Limited,Individual Advised,Death,> 6 months to 12 months,0.8
TAL Life Insurance Services Limited,Individual Advised,Death,> 2 weeks to 2 months,20.0
TAL Life Insurance Services Limited,Individual Advised,Death,> 2 months to 6 months,6.3
TAL Life Insurance Services Limited,Individual Advised,Death,> 12 months,2.1
TAL Life Insurance Services Limited,Individual Advised,DII,0-2 weeks,55.0
TAL Life Insurance Services Limited,Individual Advised,DII,> 6 months to 12 months,3.4
TAL Life Insurance Services Limited,Individual Advised,DII,> 2 weeks to 2 months,32.3
TAL Life Insurance Services Limited,Individual Advised,DII,> 2 months to 6 months,8.8
TAL Life Insurance Services Limited,Individual Advised,DII,> 12 months,0.5
TAL Life Insurance Services Limited,Individual Advised,TPD,0-2 weeks,16.0
TAL Life Insurance Services Limited,Individual Advised,TPD,> 6 months to 12 months,20.2
TAL Life Insurance Services Limited,Individual Advised,TPD,> 2 weeks to 2 months,15.1
TAL Life Insurance Services Limited,Individual Advised,TPD,> 2 months to 6 months,31.9
TAL Life Insurance Services Limited,Individual Advised,TPD,> 12 months,16.8
TAL Life Insurance Services Limited,Individual Advised,Trauma,0-2 weeks,54.4
TAL Life Insurance Services Limited,Individual Advised,Trauma,> 6 months to 12 months,5.6
TAL Life Insurance Services Limited,Individual Advised,Trauma,> 2 weeks to 2 months,28.9
TAL Life Insurance Services Limited,Individual Advised,Trauma,> 2 months to 6 months,9.4
TAL Life Insurance Services Limited,Individual Advised,Trauma,> 12 months,1.8
TAL Life Insurance Services Limited,Group Ordinary,Death,0-2 weeks,0.0
TAL Life Insurance Services Limited,Group Ordinary,Death,> 6 months to 12 months,0.0
TAL Life Insurance Services Limited,Group Ordinary,Death,> 2 weeks to 2 months,0.0
TAL Life Insurance Services Limited,Group Ordinary,Death,> 2 months to 6 months,0.0
TAL Life Insurance Services Limited,Group Ordinary,Death,> 12 months,0.0
TAL Life Limited,Individual Non-Advised,Accident,0-2 weeks,72.5
TAL Life Limited,Individual Non-Advised,Accident,> 6 months to 12 months,1.9
TAL Life Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,18.1
TAL Life Limited,Individual Non-Advised,Accident,> 2 months to 6 months,7.5
TAL Life Limited,Individual Non-Advised,Accident,> 12 months,0.0
TAL Life Limited,Individual Non-Advised,Death,0-2 weeks,46.9
TAL Life Limited,Individual Non-Advised,Death,> 6 months to 12 months,8.6
TAL Life Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,24.7
TAL Life Limited,Individual Non-Advised,Death,> 2 months to 6 months,13.0
TAL Life Limited,Individual Non-Advised,Death,> 12 months,6.8
TAL Life Limited,Individual Non-Advised,DII,0-2 weeks,19.8
TAL Life Limited,Individual Non-Advised,DII,> 6 months to 12 months,9.4
TAL Life Limited,Individual Non-Advised,DII,> 2 weeks to 2 months,45.9
TAL Life Limited,Individual Non-Advised,DII,> 2 months to 6 months,22.9
TAL Life Limited,Individual Non-Advised,DII,> 12 months,1.9
TAL Life Limited,Individual Non-Advised,Funeral,0-2 weeks,87.4
TAL Life Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.2
TAL Life Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,11.4
TAL Life Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,1.0
TAL Life Limited,Individual Non-Advised,Funeral,> 12 months,0.0
TAL Life Limited,Individual Advised,Death,0-2 weeks,67.5
TAL Life Limited,Individual Advised,Death,> 6 months to 12 months,1.0
TAL Life Limited,Individual Advised,Death,> 2 weeks to 2 months,26.9
TAL Life Limited,Individual Advised,Death,> 2 months to 6 months,4.3
TAL Life Limited,Individual Advised,Death,> 12 months,0.3
TAL Life Limited,Individual Advised,DII,0-2 weeks,65.5
TAL Life Limited,Individual Advised,DII,> 6 months to 12 months,1.6
TAL Life Limited,Individual Advised,DII,> 2 weeks to 2 months,23.7
TAL Life Limited,Individual Advised,DII,> 2 months to 6 months,8.5
TAL Life Limited,Individual Advised,DII,> 12 months,0.8
TAL Life Limited,Individual Advised,TPD,0-2 weeks,12.7
TAL Life Limited,Individual Advised,TPD,> 6 months to 12 months,23.7
TAL Life Limited,Individual Advised,TPD,> 2 weeks to 2 months,19.5
TAL Life Limited,Individual Advised,TPD,> 2 months to 6 months,33.1
TAL Life Limited,Individual Advised,TPD,> 12 months,11.0
TAL Life Limited,Individual Advised,Trauma,0-2 weeks,60.8
TAL Life Limited,Individual Advised,Trauma,> 6 months to 12 months,0.3
TAL Life Limited,Individual Advised,Trauma,> 2 weeks to 2 months,32.0
TAL Life Limited,Individual Advised,Trauma,> 2 months to 6 months,6.8
TAL Life Limited,Individual Advised,Trauma,> 12 months,0.1
TAL Life Limited,Group Super,Death,0-2 weeks,77.2
TAL Life Limited,Group Super,Death,> 6 months to 12 months,0.8
TAL Life Limited,Group Super,Death,> 2 weeks to 2 months,15.4
TAL Life Limited,Group Super,Death,> 2 months to 6 months,6.4
TAL Life Limited,Group Super,Death,> 12 months,0.2
TAL Life Limited,Group Super,DII,0-2 weeks,40.2
TAL Life Limited,Group Super,DII,> 6 months to 12 months,3.2
TAL Life Limited,Group Super,DII,> 2 weeks to 2 months,41.2
TAL Life Limited,Group Super,DII,> 2 months to 6 months,14.5
TAL Life Limited,Group Super,DII,> 12 months,0.9
TAL Life Limited,Group Super,TPD,0-2 weeks,13.7
TAL Life Limited,Group Super,TPD,> 6 months to 12 months,16.0
TAL Life Limited,Group Super,TPD,> 2 weeks to 2 months,22.6
TAL Life Limited,Group Super,TPD,> 2 months to 6 months,42.7
TAL Life Limited,Group Super,TPD,> 12 months,5.1
TAL Life Limited,Group Ordinary,DII,0-2 weeks,51.4
TAL Life Limited,Group Ordinary,DII,> 6 months to 12 months,1.4
TAL Life Limited,Group Ordinary,DII,> 2 weeks to 2 months,28.6
TAL Life Limited,Group Ordinary,DII,> 2 months to 6 months,10.0
TAL Life Limited,Group Ordinary,DII,> 12 months,8.6
Zurich Australia Limited,Individual Non-Advised,CCI,0-2 weeks,50.4
Zurich Australia Limited,Individual Non-Advised,CCI,> 6 months to 12 months,7.2
Zurich Australia Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,32.8
Zurich Australia Limited,Individual Non-Advised,CCI,> 2 months to 6 months,9.6
Zurich Australia Limited,Individual Non-Advised,CCI,> 12 months,0.0
Zurich Australia Limited,Individual Non-Advised,Death,0-2 weeks,38.1
Zurich Australia Limited,Individual Non-Advised,Death,> 6 months to 12 months,4.8
Zurich Australia Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,31.3
Zurich Australia Limited,Individual Non-Advised,Death,> 2 months to 6 months,21.8
Zurich Australia Limited,Individual Non-Advised,Death,> 12 months,4.1
Zurich Australia Limited,Individual Non-Advised,DII,0-2 weeks,37.2
Zurich Australia Limited,Individual Non-Advised,DII,> 6 months to 12 months,2.0
Zurich Australia Limited,Individual Non-Advised,DII,> 2 weeks to 2 months,48.6
Zurich Australia Limited,Individual Non-Advised,DII,> 2 months to 6 months,12.2
Zurich Australia Limited,Individual Non-Advised,DII,> 12 months,0.0
Zurich Australia Limited,Individual Non-Advised,Funeral,0-2 weeks,64.5
Zurich Australia Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,1.9
Zurich Australia Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,25.8
Zurich Australia Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,7.1
Zurich Australia Limited,Individual Non-Advised,Funeral,> 12 months,0.6
Zurich Australia Limited,Individual Non-Advised,Trauma,0-2 weeks,33.3
Zurich Australia Limited,Individual Non-Advised,Trauma,> 6 months to 12 months,4.3
Zurich Australia Limited,Individual Non-Advised,Trauma,> 2 weeks to 2 months,49.3
Zurich Australia Limited,Individual Non-Advised,Trauma,> 2 months to 6 months,13.0
Zurich Australia Limited,Individual Non-Advised,Trauma,> 12 months,0.0
Zurich Australia Limited,Individual Advised,Death,0-2 weeks,43.7
Zurich Australia Limited,Individual Advised,Death,> 6 months to 12 months,3.5
Zurich Australia Limited,Individual Advised,Death,> 2 weeks to 2 months,39.1
Zurich Australia Limited,Individual Advised,Death,> 2 months to 6 months,12.7
Zurich Australia Limited,Individual Advised,Death,> 12 months,1.1
Zurich Australia Limited,Individual Advised,DII,0-2 weeks,41.0
Zurich Australia Limited,Individual Advised,DII,> 6 months to 12 months,2.3
Zurich Australia Limited,Individual Advised,DII,> 2 weeks to 2 months,42.4
Zurich Australia Limited,Individual Advised,DII,> 2 months to 6 months,13.3
Zurich Australia Limited,Individual Advised,DII,> 12 months,0.9
Zurich Australia Limited,Individual Advised,TPD,0-2 weeks,4.8
Zurich Australia Limited,Individual Advised,TPD,> 6 months to 12 months,23.8
Zurich Australia Limited,Individual Advised,TPD,> 2 weeks to 2 months,15.4
Zurich Australia Limited,Individual Advised,TPD,> 2 months to 6 months,33.4
Zurich Australia Limited,Individual Advised,TPD,> 12 months,22.5
Zurich Australia Limited,Individual Advised,Trauma,0-2 weeks,39.6
Zurich Australia Limited,Individual Advised,Trauma,> 6 months to 12 months,2.1
Zurich Australia Limited,Individual Advised,Trauma,> 2 weeks to 2 months,42.1
Zurich Australia Limited,Individual Advised,Trauma,> 2 months to 6 months,15.3
Zurich Australia Limited,Individual Advised,Trauma,> 12 months,0.9
Zurich Australia Limited,Group Super,Death,0-2 weeks,73.6
Zurich Australia Limited,Group Super,Death,> 6 months to 12 months,1.5
Zurich Australia Limited,Group Super,Death,> 2 weeks to 2 months,18.3
Zurich Australia Limited,Group Super,Death,> 2 months to 6 months,5.0
Zurich Australia Limited,Group Super,Death,> 12 months,1.5
Zurich Australia Limited,Group Super,DII,0-2 weeks,48.4
Zurich Australia Limited,Group Super,DII,> 6 months to 12 months,6.0
Zurich Australia Limited,Group Super,DII,> 2 weeks to 2 months,34.3
Zurich Australia Limited,Group Super,DII,> 2 months to 6 months,10.8
Zurich Australia Limited,Group Super,DII,> 12 months,0.4
Zurich Australia Limited,Group Super,TPD,0-2 weeks,11.2
Zurich Australia Limited,Group Super,TPD,> 6 months to 12 months,20.8
Zurich Australia Limited,Group Super,TPD,> 2 weeks to 2 months,22.4
Zurich Australia Limited,Group Super,TPD,> 2 months to 6 months,39.3
Zurich Australia Limited,Group Super,TPD,> 12 months,6.3
Zurich Australia Limited,Group Ordinary,DII,0-2 weeks,39.5
Zurich Australia Limited,Group Ordinary,DII,> 6 months to 12 months,2.7
Zurich Australia Limited,Group Ordinary,DII,> 2 weeks to 2 months,50.0
Zurich Australia Limited,Group Ordinary,DII,> 2 months to 6 months,7.7
Zurich Australia Limited,Group Ordinary,DII,> 12 months,0.0
AIA Australia Limited,Individual Non-Advised,Accident,0-2 weeks,20.0
AIA Australia Limited,Individual Non-Advised,Accident,> 6 months to 12 months,5.5
AIA Australia Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,41.8
AIA Australia Limited,Individual Non-Advised,Accident,> 2 months to 6 months,30.9
AIA Australia Limited,Individual Non-Advised,Accident,> 12 months,1.8
AIA Australia Limited,Individual Non-Advised,CCI,0-2 weeks,39.6
AIA Australia Limited,Individual Non-Advised,CCI,> 6 months to 12 months,2.1
AIA Australia Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,34.7
AIA Australia Limited,Individual Non-Advised,CCI,> 2 months to 6 months,22.9
AIA Australia Limited,Individual Non-Advised,CCI,> 12 months,0.7
AIA Australia Limited,Individual Non-Advised,Funeral,0-2 weeks,98.2
AIA Australia Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.0
AIA Australia Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,1.8
AIA Australia Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,0.0
AIA Australia Limited,Individual Non-Advised,Funeral,> 12 months,0.0
AIA Australia Limited,Individual Advised,Death,0-2 weeks,55.4
AIA Australia Limited,Individual Advised,Death,> 6 months to 12 months,1.8
AIA Australia Limited,Individual Advised,Death,> 2 weeks to 2 months,32.7
AIA Australia Limited,Individual Advised,Death,> 2 months to 6 months,9.5
AIA Australia Limited,Individual Advised,Death,> 12 months,0.7
AIA Australia Limited,Individual Advised,DII,0-2 weeks,36.0
AIA Australia Limited,Individual Advised,DII,> 6 months to 12 months,3.7
AIA Australia Limited,Individual Advised,DII,> 2 weeks to 2 months,47.8
AIA Australia Limited,Individual Advised,DII,> 2 months to 6 months,10.6
AIA Australia Limited,Individual Advised,DII,> 12 months,1.8
AIA Australia Limited,Individual Advised,TPD,0-2 weeks,4.6
AIA Australia Limited,Individual Advised,TPD,> 6 months to 12 months,36.0
AIA Australia Limited,Individual Advised,TPD,> 2 weeks to 2 months,10.2
AIA Australia Limited,Individual Advised,TPD,> 2 months to 6 months,35.0
AIA Australia Limited,Individual Advised,TPD,> 12 months,14.2
AIA Australia Limited,Individual Advised,Trauma,0-2 weeks,34.4
AIA Australia Limited,Individual Advised,Trauma,> 6 months to 12 months,1.9
AIA Australia Limited,Individual Advised,Trauma,> 2 weeks to 2 months,48.0
AIA Australia Limited,Individual Advised,Trauma,> 2 months to 6 months,15.1
AIA Australia Limited,Individual Advised,Trauma,> 12 months,0.7
AIA Australia Limited,Group Super,Death,0-2 weeks,69.6
AIA Australia Limited,Group Super,Death,> 6 months to 12 months,1.2
AIA Australia Limited,Group Super,Death,> 2 weeks to 2 months,22.5
AIA Australia Limited,Group Super,Death,> 2 months to 6 months,6.4
AIA Australia Limited,Group Super,Death,> 12 months,0.3
AIA Australia Limited,Group Super,DII,0-2 weeks,14.5
AIA Australia Limited,Group Super,DII,> 6 months to 12 months,9.3
AIA Australia Limited,Group Super,DII,> 2 weeks to 2 months,48.2
AIA Australia Limited,Group Super,DII,> 2 months to 6 months,22.6
AIA Australia Limited,Group Super,DII,> 12 months,5.4
AIA Australia Limited,Group Super,TPD,0-2 weeks,8.4
AIA Australia Limited,Group Super,TPD,> 6 months to 12 months,19.9
AIA Australia Limited,Group Super,TPD,> 2 weeks to 2 months,15.2
AIA Australia Limited,Group Super,TPD,> 2 months to 6 months,43.7
AIA Australia Limited,Group Super,TPD,> 12 months,12.8
AIA Australia Limited,Group Ordinary,Death,0-2 weeks,94.8
AIA Australia Limited,Group Ordinary,Death,> 6 months to 12 months,0.0
AIA Australia Limited,Group Ordinary,Death,> 2 weeks to 2 months,3.5
AIA Australia Limited,Group Ordinary,Death,> 2 months to 6 months,1.6
AIA Australia Limited,Group Ordinary,Death,> 12 months,0.0
AIA Australia Limited,Group Ordinary,DII,0-2 weeks,19.2
AIA Australia Limited,Group Ordinary,DII,> 6 months to 12 months,4.5
AIA Australia Limited,Group Ordinary,DII,> 2 weeks to 2 months,58.4
AIA Australia Limited,Group Ordinary,DII,> 2 months to 6 months,16.5
AIA Australia Limited,Group Ordinary,DII,> 12 months,1.4
ClearView Life Assurance Limited,Individual Non-Advised,Death,0-2 weeks,14.5
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 6 months to 12 months,11.3
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,48.4
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 2 months to 6 months,22.6
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 12 months,3.2
ClearView Life Assurance Limited,Individual Advised,DII,0-2 weeks,14.3
ClearView Life Assurance Limited,Individual Advised,DII,> 6 months to 12 months,9.1
ClearView Life Assurance Limited,Individual Advised,DII,> 2 weeks to 2 months,45.6
ClearView Life Assurance Limited,Individual Advised,DII,> 2 months to 6 months,28.0
ClearView Life Assurance Limited,Individual Advised,DII,> 12 months,3.0
ClearView Life Assurance Limited,Individual Advised,Trauma,0-2 weeks,23.4
ClearView Life Assurance Limited,Individual Advised,Trauma,> 6 months to 12 months,2.7
ClearView Life Assurance Limited,Individual Advised,Trauma,> 2 weeks to 2 months,53.2
ClearView Life Assurance Limited,Individual Advised,Trauma,> 2 months to 6 months,18.0
ClearView Life Assurance Limited,Individual Advised,Trauma,> 12 months,2.7
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,0-2 weeks,87.7
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 6 months to 12 months,0.2
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 2 weeks to 2 months,9.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 2 months to 6 months,2.1
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 12 months,0.1
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,0-2 weeks,33.3
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 6 months to 12 months,0.0
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 2 weeks to 2 months,60.8
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 2 months to 6 months,5.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 12 months,0.0
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,0-2 weeks,76.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 6 months to 12 months,0.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 2 weeks to 2 months,17.4
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 2 months to 6 months,4.6
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 12 months,0.1
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,0-2 weeks,73.3
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 6 months to 12 months,0.8
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 2 weeks to 2 months,22.1
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 2 months to 6 months,3.8
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,0-2 weeks,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 6 months to 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 2 weeks to 2 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 2 months to 6 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 12 months,0.0
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,0-2 weeks,37.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 6 months to 12 months,6.4
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 2 weeks to 2 months,37.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 2 months to 6 months,16.1
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 12 months,1.9
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,0-2 weeks,36.3
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 6 months to 12 months,1.1
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 2 weeks to 2 months,53.5
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 2 months to 6 months,8.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 12 months,0.4
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,0-2 weeks,76.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 6 months to 12 months,0.2
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 2 weeks to 2 months,20.5
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 2 months to 6 months,2.5
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 12 months,0.0
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,0-2 weeks,47.7
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 6 months to 12 months,3.1
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 2 weeks to 2 months,30.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 2 months to 6 months,16.9
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 12 months,1.5
Hannover Life Re of Australasia Ltd,Group Super,Death,0-2 weeks,85.9
Hannover Life Re of Australasia Ltd,Group Super,Death,> 6 months to 12 months,0.0
Hannover Life Re of Australasia Ltd,Group Super,Death,> 2 weeks to 2 months,12.1
Hannover Life Re of Australasia Ltd,Group Super,Death,> 2 months to 6 months,1.3
Hannover Life Re of Australasia Ltd,Group Super,Death,> 12 months,0.7
Hannover Life Re of Australasia Ltd,Group Super,DII,0-2 weeks,28.9
Hannover Life Re of Australasia Ltd,Group Super,DII,> 6 months to 12 months,1.7
Hannover Life Re of Australasia Ltd,Group Super,DII,> 2 weeks to 2 months,55.6
Hannover Life Re of Australasia Ltd,Group Super,DII,> 2 months to 6 months,13.4
Hannover Life Re of Australasia Ltd,Group Super,DII,> 12 months,0.4
Hannover Life Re of Australasia Ltd,Group Super,TPD,0-2 weeks,21.5
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 6 months to 12 months,14.3
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 2 weeks to 2 months,24.3
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 2 months to 6 months,31.3
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 12 months,8.5
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,0-2 weeks,72.1
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 6 months to 12 months,0.0
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 2 weeks to 2 months,24.7
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 2 months to 6 months,3.2
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 12 months,0.0
Integrity Life Australia Limited,Individual Advised,TPD,0-2 weeks,0.0
Integrity Life Australia Limited,Individual Advised,TPD,> 6 months to 12 months,0.0
Integrity Life Australia Limited,Individual Advised,TPD,> 2 weeks to 2 months,0.0
Integrity Life Australia Limited,Individual Advised,TPD,> 2 months to 6 months,0.0
Integrity Life Australia Limited,Individual Advised,TPD,> 12 months,0.0
MetLife Insurance Limited,Individual Non-Advised,CCI,0-2 weeks,71.0
MetLife Insurance Limited,Individual Non-Advised,CCI,> 6 months to 12 months,0.0
MetLife Insurance Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,23.2
MetLife Insurance Limited,Individual Non-Advised,CCI,> 2 months to 6 months,5.8
MetLife Insurance Limited,Individual Non-Advised,CCI,> 12 months,0.0
MetLife Insurance Limited,Group Super,Death,0-2 weeks,82.2
MetLife Insurance Limited,Group Super,Death,> 6 months to 12 months,0.8
MetLife Insurance Limited,Group Super,Death,> 2 weeks to 2 months,14.3
MetLife Insurance Limited,Group Super,Death,> 2 months to 6 months,2.6
MetLife Insurance Limited,Group Super,Death,> 12 months,0.1
MetLife Insurance Limited,Group Super,DII,0-2 weeks,30.2
MetLife Insurance Limited,Group Super,DII,> 6 months to 12 months,2.8
MetLife Insurance Limited,Group Super,DII,> 2 weeks to 2 months,49.8
MetLife Insurance Limited,Group Super,DII,> 2 months to 6 months,16.9
MetLife Insurance Limited,Group Super,DII,> 12 months,0.3
MetLife Insurance Limited,Group Super,TPD,0-2 weeks,14.8
MetLife Insurance Limited,Group Super,TPD,> 6 months to 12 months,17.3
MetLife Insurance Limited,Group Super,TPD,> 2 weeks to 2 months,23.9
MetLife Insurance Limited,Group Super,TPD,> 2 months to 6 months,40.0
MetLife Insurance Limited,Group Super,TPD,> 12 months,4.0
MetLife Insurance Limited,Group Ordinary,DII,0-2 weeks,39.2
MetLife Insurance Limited,Group Ordinary,DII,> 6 months to 12 months,0.4
MetLife Insurance Limited,Group Ordinary,DII,> 2 weeks to 2 months,50.5
MetLife Insurance Limited,Group Ordinary,DII,> 2 months to 6 months,9.9
MetLife Insurance Limited,Group Ordinary,DII,> 12 months,0.0
MLC Limited,Individual Non-Advised,Accident,0-2 weeks,0.0
MLC Limited,Individual Non-Advised,Accident,> 6 months to 12 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 2 months to 6 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 12 months,0.0
MLC Limited,Individual Non-Advised,CCI,0-2 weeks,81.3
MLC Limited,Individual Non-Advised,CCI,> 6 months to 12 months,0.8
MLC Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,9.7
MLC Limited,Individual Non-Advised,CCI,> 2 months to 6 months,7.4
MLC Limited,Individual Non-Advised,CCI,> 12 months,0.8
MLC Limited,Individual Non-Advised,Death,0-2 weeks,34.8
MLC Limited,Individual Non-Advised,Death,> 6 months to 12 months,4.5
MLC Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,31.8
